Name;Price
Aaland Islands;"$6.90
$19.90
USD"
Africa;"$9.90
$11.90
USD"
Albania;"$9.90
$11.90
USD"
Algeria;"$9.90
$11.90
USD"
Andorra;"$6.90
$8.90
USD"
Anguilla;"$50.90
$69.90
USD"
Antigua and Barbuda;"$11.90
$13.90
USD"
Argentina;"$9.90
$11.90
USD"
Armenia;"$9.90
$11.90
USD"
Aruba;"$10.90
$12.90
USD"
Asia;"$6.90
$8.90
USD"
Australia;"$6.90
$8.90
USD"
Austria;"$6.90
$8.90
USD"
Azerbaijan;"$9.90
$11.90
USD"
Azores;"$6.90
$8.90
USD"
Bahamas;"$11.90
$13.90
USD"
Bali;"$6.90
$16.90
USD"
Bangkok;"$20.90
$22.90
USD"
Bangladesh;"$7.90
$9.90
USD"
Barbados;"$11.90
$13.90
USD"
Barcelona;"$20.90
$22.90
USD"
Belgium;"$6.90
$8.90
USD"
Belize;"$31.90
$33.90
USD"
Benin;"$9.90
$11.90
USD"
Berlin;"$20.90
$22.90
USD"
Bermuda;"$11.90
$13.90
USD"
Bolivia;"$9.90
$11.90
USD"
Bonaire;"$60.90
$62.90
USD"
Bosnia and Herzegovina;"$6.90
$8.90
USD"
Botswana;"$9.90
$11.90
USD"
Brazil;"$7.90
$9.90
USD"
British Virgin Island;"$11.90
$19.90
USD"
Brunei;"$9.90
$11.90
USD"
Bulgaria;"$6.90
$8.90
USD"
Burkina Faso;"$9.90
$11.90
USD"
California;"$20.90
$22.90
USD"
Cambodia;"$6.90
$8.90
USD"
Cameroon;"$7.90
$9.90
USD"
Canada;"$7.90
$9.90
USD"
Canary Islands;"$6.90
$8.90
USD"
Caribbean;"$15.90
$17.90
USD"
Cayman Island;"$11.90
$19.90
USD"
Central African Republic;"$9.90
$11.90
USD"
Chile;"$7.90
$9.90
USD"
China;"$6.90
$8.90
USD"
China+HongKong+Macau;"$6.90
$8.90
USD"
Colombia;"$7.90
$9.90
USD"
Costa Rica;"$7.90
$9.90
USD"
Croatia;"$6.90
$8.90
USD"
Curaçao;"$60.90
$62.90
USD"
